Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Syrian Arab Republic","SYR","73.11","73.371","73.663","73.967","74.25","74.43","74.412","74.152","73.647","72.938","72.108","71.27","70.55","70.049","69.821","69.908","70.315","70.967","71.779","72.697","73.651"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","St. Vincent and the Grenadines","VCT","70.809","70.882","70.977","71.087","71.208","71.331","71.449","71.554","71.643","71.716","71.776","71.827","71.879","71.939","72.01","72.095","72.193","72.3","72.415","72.534","72.658"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Libya","LBY","70.852","71.038","71.244","71.466","71.693","71.902","72.063","72.155","72.174","72.129","72.044","71.956","71.901","71.907","71.981","72.121","72.311","72.52","72.724","72.913","73.082"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Paraguay","PRY","70.546","70.786","71.023","71.249","71.464","71.667","71.862","72.055","72.251","72.45","72.653","72.86","73.068","73.274","73.473","73.662","73.836","73.992","74.131","74.254","74.363"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Yemen, Rep.","YEM","60.683","61.216","61.781","62.358","62.931","63.481","63.997","64.47","64.892","65.255","65.549","65.768","65.92","66.016","66.066","66.085","66.087","66.086","66.096","66.125","66.181"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iraq","IRQ","69.082","68.983","68.827","68.636","68.437","68.266","68.157","68.13","68.19","68.34","68.567","68.848","69.148","69.437","69.7","69.929","70.122","70.294","70.454","70.604","70.748"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Grenada","GRD","72.648","72.805","72.929","73.023","73.088","73.123","73.125","73.096","73.038","72.96","72.867","72.768","72.669","72.579","72.503","72.445","72.408","72.388","72.384","72.397","72.426"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Romania","ROU","71.1634146341463","71.1609756097561","71.009756097561","71.309756097561","71.5609756097561","71.9121951219512","72.1634146341463","72.5658536585366","72.5658536585366","73.309756097561","73.4585365853659","74.409756097561","74.4121951219512","75.0634146341463","74.909756097561","74.9121951219512","75.209756097561","75.309756097561","75.3585365853659","75.6073170731707","74.3536585365854"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Estonia","EST","70.4170731707317","70.2585365853659","70.9048780487805","71.3170731707317","71.909756097561","72.5682926829268","72.6914634146341","72.8146341463415","73.7707317073171","74.8243902439024","75.4292682926829","76.2292682926829","76.3268292682927","77.1414634146341","77.0341463414634","77.590243902439","77.6414634146342","78.0926829268293","78.2439024390244","78.6463414634147","78.3463414634146"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Afghanistan","AFG","55.841","56.308","56.784","57.271","57.772","58.29","58.826","59.375","59.93","60.484","61.028","61.553","62.054","62.525","62.966","63.377","63.763","64.13","64.486","64.833","65.173"
