Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,1663.60493919986,1565.0542885389,1300.85236671095,1365.41641811806,1679.49511989641,1843.634107636,2271.08888540796,2976.84448021129,4047.70244531103,3626.74729344102,4342.06584459985,5326.35828406965,5185.14154871279,5936.97595902248,6118.31811031962,5413.77602061858
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG, , ,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.6635420423,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,713.177899604189,633.548478649454,631.810182054392,819.665920062035,993.668106328172,1129.70120425436,1236.99411346666,1382.73744167547,1442.03101172733,1425.3071682636,1659.65492214657,1810.2291644467,1777.30395005009,1748.9055935618,1736.24221958851,1556.31646949666
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,525.458896063925,539.338735113671,627.790485557802,706.963981035667,854.514572415174,1016.48643759888,1252.62230380461,1430.83910728174,1707.4384335853,1486.71102495947,1687.58852555283,1862.36510739509,1965.11575000063,2157.4945836876,2212.91409452372,1894.32211518466
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1765.02714611601,1740.60665427662,1781.82890798394,2103.38129106939,2610.18542243488,3113.09488313746,3478.71000237566,3950.5129931247,4923.63161541179,3883.27090043586,4480.78631766464,5455.67940349747,5592.22011465753,5499.58733105334,5493.05669453687,4177.8895415169
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM, , ,8666.65538195914,8807.46281200101,8528.24877689163,8395.31877025371,8340.52343974691,8874.87792759607,9740.82449121586,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.7241954879,11525.1563872309,12059.6351646776
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.8499340211,48719.6587699036,43504.2156523202,40849.7612766794,43333.9730414795,38684.5665299216,39538.3552064403,41302.3821426181,35770.9186530024
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,556.83618223535,527.333528536691,872.494441791273,982.960981888823,1255.56423822184,1902.42214975937,2599.56594793067,3121.99608528081,4080.94101529549,3122.78174333089,3497.9744877961,4518.31335013452,4978.43443525745,5127.71724294327,5094.11232930191,3127.89059784461
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500769,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091
